@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
23,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.433,0.347,0.216,0.153077
13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.385,0.308,0.236860
15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0.267,0.201,0.183607
18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.223,0.335,0.155587
18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0.223,0.167,0.151246
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.186,0.311,0.161250
13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.385,0.462,0.154,0.180166
19,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.369,0.369,0.263,0.151089
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.067,0.267,0.156767
40,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0.525,0.125,0.250,0.159186
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0.134,0.334,0.194489
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.631,0.106,0.211,0.176064
14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.213,0.000,0.171920
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.249,0.500,0.267619
24,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.459,0.209,0.168,0.156866
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.350,0.250,0.400,0.162437
17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.412,0.295,0.235,0.186271
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.364,0.182,0.197293
20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.350,0.250,0.200,0.169779
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.364,0.364,0.182,0.227797
12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.166,0.166,0.162694
23,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.434,0.347,0.217,0.150481
21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.477,0.143,0.286,0.161353
22,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0.362,0.272,0.318,0.163098
21,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.476,0.286,0.239,0.147210
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.182,0.364,0.203676
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.213,0.214,0.191871
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.285,0.356,0.345704
12,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.249,0.172837
17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.530,0.236,0.177,0.143770
22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.726,0.045,0.226,0.143823
34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.470,0.087,0.323,0.141750
25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.440,0.320,0.160,0.146978
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.187,0.311,0.204588
16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.374,0.437,0.062,0.176426
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.166,0.333,0.161908
16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.560,0.124,0.125,0.167584
19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0.106,0.370,0.158839
26,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0.383,0.345,0.268,0.142519
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.354,0.353,0.236,0.160358
16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.312,0.249,0.313,0.154136
28,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.179,0.822,0.000,0.164886
22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.136,0.272,0.140560
13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.231,0.308,0.164533
